what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1249939287046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249939292812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1249939295703
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1249939303500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939303515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939304171
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1249939307296
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249939315218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939361312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1249939361312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939367734
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1249939410328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939410328
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939410953
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1249939417656
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1249939418750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939418765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249939419515
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1249939430234
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249939438046
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1249939461781
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249939521828
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1249939594500
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.TaskList,1249939595234
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.TaskList,1249939600859
