what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849243062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849261718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849297640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849299359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849301078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849335921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849335921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849336031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849342875
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249849346156
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249849348062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1249849352093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249849355828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849362312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849364015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849380953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849382187
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1249849383625
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249849386609
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1249849392531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849410171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849410171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849410312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249849483953
activated,view,org.python.pydev,1.4.7.2843,org.python.pydev.navigator.view,1249849494078
