what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249847669046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1249847673921
activated,view,org.python.pydev,1.4.7.2843,org.python.pydev.navigator.view,1249847684078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847691953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847702640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847705578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847705578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847705671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847715796
activated,editor,org.python.pydev,1.4.7.2843,org.python.pydev.editor.PythonEditor,1249847717093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847725343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847727281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847734156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847735968
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordPrevious,1249847744484
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249847748000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847750750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847753000
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249847754187
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249847758062
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249847761750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847763578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847764953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847774703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249847779734
