what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1249930637093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1249930637656
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249930652375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1249930660125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1249930685000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1249930732265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1249930742640
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1249930743031
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249930746296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930753890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930753890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930753984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930778265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249930792906
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1249930811093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1249930815062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930822578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930822578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930822671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1249930828218
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249930832046
executed,command,org.python.pydev,1.4.7.2843,org.python.pydev.editor.actions.firstChar,1249930835031
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1249930835359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1249930836250
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1249930837625
